scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Toxidia peron,1,2018,10,Queensland,Hesperiidae,Toxidia,-28.137384,153.485571
Eurema hecabe,6,2020,6,Queensland,Pieridae,Eurema,-17.9795,144.0423
Nacaduba kurava,2,2019,11,Queensland,Lycaenidae,Nacaduba,-27.497664,153.012787
Catopsilia pomona,3,2020,4,Queensland,Pieridae,Catopsilia,-17.4254,145.4416
Eurema hecabe,2,2020,9,Queensland,Pieridae,Eurema,-26.584931,151.806986
Nacaduba kurava,1,2020,2,Queensland,Lycaenidae,Nacaduba,-17.56,145.58
Lampides boeticus,5,2022,10,Queensland,Lycaenidae,Lampides,-26.802252,151.562557
Acraea andromacha,1,2022,2,Queensland,Nymphalidae,Acraea,-17.3,145.3
Phaedyma shepherdi,1,2023,7,Queensland,Nymphalidae,Phaedyma,-17.31236,145.58744
Belenois java,7,2020,3,Queensland,Pieridae,Belenois,-27.53,152.99
Hypolimnas alimena,1,2022,3,Northern Territory,Nymphalidae,Hypolimnas,-13.49632,131.03578
Heteronympha merope,12,2023,2,Victoria,Nymphalidae,Heteronympha,-38.2085,146.8453
Euploea corinna,3,2020,12,Queensland,Nymphalidae,Euploea,-26.584931,151.806986
Eurema herla,5,2021,2,Queensland,Pieridae,Eurema,-17.38,145.18
Junonia villida,12,2020,3,Australian Capital Territory,Nymphalidae,Junonia,-35.529228,149.078551
Toxidia melania,1,2020,2,Queensland,Hesperiidae,Toxidia,-17.56,145.58
Catopyrops florinda,1,2022,6,Queensland,Lycaenidae,Catopyrops,-16.1076,144.776466
Tirumala hamata,7,2020,4,Queensland,Nymphalidae,Tirumala,-26.41042,153.05563
Papilio (Princeps) ulysses,1,2021,3,Queensland,Papilionidae,Papilio,-17.31288,145.58711
Catopsilia pyranthe,3,2020,11,New South Wales,Pieridae,Catopsilia,-30.8186,152.1471
Tisiphone helena,1,2022,10,Queensland,Nymphalidae,Tisiphone,-16.882394,145.633176
Erina erina,3,2022,11,Queensland,Lycaenidae,Erina,-19.5654,144.0409
Doleschallia bisaltide,1,2020,2,Queensland,Nymphalidae,Doleschallia,-17.559167,145.496364
Candalides,1,2020,2,Queensland,Lycaenidae,Candalides,-17.56,145.58
Euploea corinna,2,2022,4,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Papilio (Princeps) ulysses,1,2020,3,Queensland,Papilionidae,Papilio,-17.27498,145.58346
Mycalesis,2,2021,3,Queensland,Nymphalidae,Mycalesis,-17.31288,145.58711
Papilio (Princeps) aegeus,2,2021,4,Queensland,Papilionidae,Papilio,-17.2652,145.4871
Suniana sunias,1,2020,9,Queensland,Hesperiidae,Suniana,-17.31245,145.5874
Cressida cressida,2,2022,10,Queensland,Papilionidae,Cressida,-24.0718,151.3051
Junonia villida,11,2020,3,Queensland,Nymphalidae,Junonia,-27.643444,152.754201
Cupha prosope,1,2020,2,Queensland,Nymphalidae,Cupha,-17.56,145.58
Euploea corinna,1,2020,11,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Acraea andromacha,1,2020,3,Queensland,Nymphalidae,Acraea,-27.53284,153.05343
Ocybadistes walkeri,2,2023,1,Queensland,Hesperiidae,Ocybadistes,-27.70732,152.89782
Anthene lycaenoides,1,2020,4,Queensland,Lycaenidae,Anthene,-27.535,152.993
Psychonotis caelius,1,2022,2,Queensland,Lycaenidae,Psychonotis,-27.54299,153.06306
Vanessa itea,1,2023,2,Victoria,Nymphalidae,Vanessa,-38.4214,146.5772
Euploea corinna,1,2021,9,Queensland,Nymphalidae,Euploea,-20.078705,148.483133
Melanitis leda,2,2021,3,Queensland,Nymphalidae,Melanitis,-17.38,145.18
