scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Phaedyma shepherdi,1,2023,7,Queensland,Nymphalidae,Phaedyma,-17.31236,145.58744
Heteronympha merope,12,2023,2,Victoria,Nymphalidae,Heteronympha,-38.2085,146.8453
Ocybadistes walkeri,2,2023,1,Queensland,Hesperiidae,Ocybadistes,-27.70732,152.89782
Vanessa itea,1,2023,2,Victoria,Nymphalidae,Vanessa,-38.4214,146.5772
Zizina otis,1,2023,2,New South Wales,Lycaenidae,Zizina,-33.92246,150.93705
Eurema smilax,1,2023,8,Queensland,Pieridae,Eurema,-20.84618,140.05157
Hypocysta adiante,3,2023,2,Queensland,Nymphalidae,Hypocysta,-27.07686,152.66638
Heteronympha merope,6,2023,1,Victoria,Nymphalidae,Heteronympha,-37.35565,144.15373
Delias nigrina,2,2023,1,New South Wales,Pieridae,Delias,-34.9479,150.60959
Geitoneura klugii,1,2023,3,Victoria,Nymphalidae,Geitoneura,-37.05139,146.09243
Hypolimnas alimena,1,2023,7,Queensland,Nymphalidae,Hypolimnas,-12.17748,141.89608
Heteronympha mirifica,1,2023,3,New South Wales,Nymphalidae,Heteronympha,-33.6197,151.1408
Melanitis leda,1,2023,3,Queensland,Nymphalidae,Melanitis,-26.60854,153.0228
Euploea corinna,1,2023,3,Queensland,Nymphalidae,Euploea,-27.4051,153.0287
Anthene seltuttus,1,2023,4,Queensland,Lycaenidae,Anthene,-23.17934,150.79443
Arrhenes dschilus,20,2023,8,Queensland,Hesperiidae,Arrhenes,-17.4105,145.9795
Junonia villida,4,2023,4,Queensland,Nymphalidae,Junonia,-17.313756,145.585965
Hypocysta metirius,20,2023,1,New South Wales,Nymphalidae,Hypocysta,-34.9479,150.60959
Geitoneura klugii,12,2023,1,New South Wales,Nymphalidae,Geitoneura,-29.08629,151.96631
Eurema hecabe,1,2023,6,Queensland,Pieridae,Eurema,-10.5792,142.21488
Belenois java,1,2023,1,Queensland,Pieridae,Belenois,-27.53864,153.06586
Leptotes plinius,4,2023,1,Queensland,Lycaenidae,Leptotes,-24.88922,152.30706
Suniana sunias,2,2023,4,Queensland,Hesperiidae,Suniana,-24.88922,152.30706
Tellervo zoilus,3,2023,2,Queensland,Nymphalidae,Tellervo,-17.31244,145.58733
Appias paulina,1,2023,4,Queensland,Pieridae,Appias,-17.3128,145.587158
Pieris rapae,50,2023,2,Victoria,Pieridae,Pieris,-38.1144,147.0792
Theclinesthes miskini,1,2023,8,Queensland,Lycaenidae,Theclinesthes,-22.5626,139.98805
Nacaduba biocellata,20,2023,8,Queensland,Lycaenidae,Nacaduba,-24.22382,139.45933
Cephrenes augiades,1,2023,4,Queensland,Hesperiidae,Cephrenes,-24.88922,152.30706
Appias paulina,1,2023,4,Queensland,Pieridae,Appias,-17.3118,145.58736
Heteronympha merope,50,2023,3,Victoria,Nymphalidae,Heteronympha,-37.27787,144.82247
Delias argenthona,1,2023,4,Queensland,Pieridae,Delias,-24.88922,152.30706
Vagrans egista,1,2023,4,Queensland,Nymphalidae,Vagrans,-17.3118,145.58736
Junonia villida,6,2023,3,Victoria,Nymphalidae,Junonia,-36.32629,146.92155
Papilio (Eleppone) anactus,3,2023,1,Queensland,Papilionidae,Papilio,-27.54254,153.07317
Papilio (Princeps) ulysses,3,2023,4,Queensland,Papilionidae,Papilio,-17.3118,145.58736
Zizina otis,4,2023,3,Victoria,Lycaenidae,Zizina,-36.69104,146.98792
Delias ennia,2,2023,4,Queensland,Pieridae,Delias,-17.3128,145.587158
Elodina walkeri,1,2023,7,Queensland,Pieridae,Elodina,-15.51808,144.83768
Appias paulina,1,2023,1,Queensland,Pieridae,Appias,-27.53866,153.06599
Ocybadistes walkeri,1,2023,2,Victoria,Hesperiidae,Ocybadistes,-37.82427,145.2093
Nacaduba kurava,1,2023,2,Queensland,Lycaenidae,Nacaduba,-17.33887,145.62429
Delias argenthona,1,2023,5,Queensland,Pieridae,Delias,-17.31244,145.58736
Hypolimnas bolina,1,2023,3,Queensland,Nymphalidae,Hypolimnas,-17.31246,145.58736
Euploea tulliolus,1,2023,5,Queensland,Nymphalidae,Euploea,-17.5696,145.8983
Ogyris zosine,1,2023,8,Queensland,Lycaenidae,Ogyris,-20.73593,139.51261
Acraea terpsicore,3,2023,4,Queensland,Nymphalidae,Acraea,-17.313756,145.585965
Vanessa itea,1,2023,3,Victoria,Nymphalidae,Vanessa,-38.63978,143.88844
Toxidia,1,2023,2,Queensland,Hesperiidae,Toxidia,-16.785192,145.625245
Pieris rapae,1,2023,3,Victoria,Pieridae,Pieris,-37.87517,145.35883
Danaus petilia,2,2023,8,Queensland,Nymphalidae,Danaus,-17.44326,140.84228
Danaus petilia,8,2023,3,Queensland,Nymphalidae,Danaus,-27.5737,152.9254
Papilio (Princeps) ambrax,2,2023,1,Queensland,Papilionidae,Papilio,-17.31256,145.58716
Psychonotis caelius,1,2023,1,Queensland,Lycaenidae,Psychonotis,-27.53866,153.06599
Zizina otis,4,2023,1,Queensland,Lycaenidae,Zizina,-28.22452,153.11082
Pieris rapae,1,2023,1,Queensland,Pieridae,Pieris,-28.34104,152.37203
Danaus plexippus,2,2023,1,Queensland,Nymphalidae,Danaus,-28.22452,153.11082
Belenois java,1,2023,2,South Australia,Pieridae,Belenois,-34.89157,138.59161
Euploea corinna,1,2023,7,Queensland,Nymphalidae,Euploea,-15.51808,144.83768
Papilio (Princeps) aegeus,1,2023,8,Queensland,Papilionidae,Papilio,-17.48157,140.83979
Toxidia,2,2023,1,Queensland,Hesperiidae,Toxidia,-27.70732,152.89782
Junonia villida,2,2023,4,Queensland,Nymphalidae,Junonia,-17.3128,145.587158
Papilio (Princeps) ulysses,1,2023,5,Queensland,Papilionidae,Papilio,-17.31239,145.58741
Euchrysops cnejus,1,2023,6,Queensland,Lycaenidae,Euchrysops,-17.91649,145.35196
Tellervo zoilus,1,2023,4,Queensland,Nymphalidae,Tellervo,-17.3128,145.587158
Delias nigrina,6,2023,5,Queensland,Pieridae,Delias,-17.31239,145.58741
Toxidia,3,2023,3,Queensland,Hesperiidae,Toxidia,-27.71814,152.87893
Belenois java,1,2023,8,Queensland,Pieridae,Belenois,-22.91485,139.93977
Junonia villida,1,2023,8,New South Wales,Nymphalidae,Junonia,-34.02139,150.85838
Danaus plexippus,1,2023,3,New South Wales,Nymphalidae,Danaus,-33.59357,151.17067
Euploea darchia,1,2023,5,Queensland,Nymphalidae,Euploea,-17.31239,145.58741
Geitoneura acantha,1,2023,2,Victoria,Nymphalidae,Geitoneura,-37.55034,147.86872
Graphium choredon,1,2023,2,Queensland,Papilionidae,Graphium,-26.38957,152.97456
Vanessa kershawi,40,2023,1,New South Wales,Nymphalidae,Vanessa,-29.08455,151.96778
Geitoneura klugii,1,2023,3,Victoria,Nymphalidae,Geitoneura,-37.7067,145.6815
Hasora chromus,1,2023,1,Queensland,Hesperiidae,Hasora,-27.40504,153.02836
Danaus petilia,3,2023,2,Victoria,Nymphalidae,Danaus,-36.32683,146.92104
Belenois java,1,2023,8,Queensland,Pieridae,Belenois,-22.79837,139.81409
Ornithoptera euphorion,2,2023,5,Queensland,Papilionidae,Ornithoptera,-17.31244,145.58736
Pieris rapae,3,2023,2,New South Wales,Pieridae,Pieris,-33.92242,150.9371
Junonia hedonia,1,2023,5,Queensland,Nymphalidae,Junonia,-17.5969,146.1172
Papilio (Eleppone) anactus,1,2023,2,Queensland,Papilionidae,Papilio,-27.07686,152.66638
Theclinesthes onycha,1,2023,4,Queensland,Lycaenidae,Theclinesthes,-24.88922,152.30706
Heteronympha merope,4,2023,2,Tasmania,Nymphalidae,Heteronympha,-41.13046,146.54356
